yearBuilt,longitude,latitude,price,bedrooms,bathrooms,area
-1.0,-73.991086,40.725021,"$3,000/mo",1.0,1.0,
1920.0,-73.986673,40.729351,"$6,000/mo",3.0,2.5,
-1.0,-73.989132,40.728178,"$2,600/mo",1.0,1.0,
-1.0,-73.98719,40.72735,"$4,400/mo",2.0,1.0,900.0
-1.0,-73.987535,40.736154,"$4,495/mo",1.0,1.0,
-1.0,-74.010099,40.703606,"$6,100/mo",4.0,2.0,1300.0
-1.0,-74.010402,40.703659,"$3,450/mo",1.0,1.0,800.0
-1.0,-74.011019,40.703289,"$3,050/mo",0.0,1.0,
1926.0,-74.00962,40.705003,"$2,975/mo",0.0,1.0,550.0
2006.0,-74.016688,40.705477,"$8,500/mo",2.0,2.5,1526.0
-1.0,-74.010633,40.704366,"$3,400/mo",1.0,1.0,641.0
-1.0,-74.008196,40.704227,"$6,150/mo",2.0,2.0,1180.0
-1.0,-74.009114,40.706012,"$4,200/mo",0.0,1.0,861.0
-1.0,-74.008882,40.706056,"$4,400/mo",3.0,1.0,
1893.0,-74.008327,40.706836,"$3,000/mo",1.0,1.0,775.0
-1.0,-74.00952,40.70639,"$3,785/mo",2.0,1.0,
1904.0,-74.011779,40.70764,"$2,500/mo",0.0,1.0,367.0
1914.0,-74.010587,40.706531,"$6,495/mo",2.0,2.0,1510.0
-1.0,-74.014952,40.708308,"$3,700/mo",3.0,1.0,
2016.0,-74.014993,40.707762,"$19,900/mo",4.0,4.0,2669.0
1929.0,-74.013711,40.707823,"$3,400/mo",0.0,1.0,654.0
-1.0,-74.014925,40.709297,"$5,500/mo",2.0,2.0,
2007.0,-74.013871,40.709031,"$4,795/mo",1.0,1.0,708.0
-1.0,-74.013298,40.707764,"$5,333/mo",3.0,1.0,950.0
2010.0,-74.013711,40.709161,"$6,950/mo",2.0,2.0,1023.0
-1.0,-74.005923,40.715583,"$4,655/mo",0.0,1.0,
-1.0,-74.008528,40.713647,"$7,900/mo",3.0,2.0,2000.0
-1.0,-74.009425,40.715801,"$5,999/mo",3.0,1.0,2300.0
1905.0,-74.010368,40.715046,"$10,500/mo",2.0,2.0,1510.0
1930.0,-74.008215,40.713932,"$9,000/mo",3.0,3.0,1548.0
1915.0,-74.010263,40.715373,"$6,950/mo",1.0,2.0,70000.0
-1.0,-74.007505,40.714507,"$8,200/mo",3.0,2.0,1450.0
-1.0,-74.005136,40.714001,"$9,000/mo",1.0,2.0,1459.0
-1.0,-74.008726,40.714773,"$8,500/mo",2.0,2.0,
-1.0,-73.983147,40.723303,"$4,600/mo",3.0,1.0,
-1.0,-73.984114,40.728512,"$1,800/mo",0.0,1.0,
-1.0,-73.983206,40.723014,"$2,999/mo",1.0,1.0,
-1.0,-73.983032,40.728422,"$2,700/mo",2.0,1.0,
1930.0,-73.980848,40.727484,"$6,495/mo",0.0,1.5,
-1.0,-73.979939,40.720873,"$2,550/mo",0.0,1.0,
1951.0,-73.977998,40.725711,"$2,250/mo",1.0,1.0,
-1.0,-73.980859,40.728639,"$4,500/mo",3.0,1.0,
-1.0,-73.981041,40.729976,"$2,875/mo",1.0,1.0,700.0
-1.0,-73.979121,40.728273,"$3,995/mo",2.0,1.0,
-1.0,-73.978871,40.724454,"$3,750/mo",2.0,2.0,
-1.0,-73.980977,40.728689,"$3,800/mo",2.0,1.0,
-1.0,-73.983728,40.721984,"$3,600/mo",2.0,1.0,
-1.0,-73.98159,40.721835,"$2,950/mo",2.0,1.0,
-1.0,-73.983994,40.728054,"$2,800/mo",0.0,1.0,
-1.0,-73.980602,40.721264,"$2,599/mo",1.0,1.0,
-1.0,-73.982915,40.724476,"$2,878/mo",2.0,1.0,
-1.0,-73.980678,40.727718,"$2,600/mo",1.0,1.0,
-1.0,-73.979544,40.728922,"$2,275/mo",1.0,1.0,
-1.0,-73.98391,40.725525,"$3,250/mo",0.0,1.0,
-1.0,-73.983265,40.728521,"$2,500/mo",1.0,1.0,475.0
-1.0,-73.978697,40.726905,"$2,395/mo",1.0,1.0,650.0
-1.0,-73.983889,40.724415,"$2,650/mo",1.0,1.0,
-1.0,-73.98364,40.7227,"$3,317/mo",1.0,1.0,
-1.0,-73.982194,40.730035,"$2,900/mo",2.0,1.0,
-1.0,-73.983817,40.728755,"$2,675/mo",1.0,1.0,
-1.0,-73.981707,40.721105,"$2,150/mo",0.0,1.0,
-1.0,-73.98194,40.729611,"$6,750/mo",1.0,1.0,1600.0
-1.0,-73.984064,40.724175,"$15,000/mo",4.0,1.5,3750.0
-1.0,-73.982168,40.721738,"$1,900/mo",0.0,1.0,
-1.0,-73.980458,40.721385,"$2,250/mo",1.0,1.0,700.0
-1.0,-73.983433,40.726599,"$2,950/mo",1.0,1.0,1200.0
1920.0,-73.97937,40.721704,"$4,450/mo",1.0,1.0,620.0
-1.0,-73.984779,40.726342,"$2,585/mo",2.0,1.0,
-1.0,-73.981075,40.721489,"$3,600/mo",2.0,1.0,
-1.0,-73.97903,40.73577,"$3,977/mo",1.0,1.0,944.0
-1.0,-73.973885,40.737357,"$5,490/mo",2.0,2.0,1013.0
-1.0,-73.982518,40.741296,"$7,495/mo",4.0,2.0,
-1.0,-73.983675,40.737142,"$2,950/mo",1.0,1.0,
-1.0,-73.981314,40.736378,"$3,200/mo",0.0,1.0,402.0
-1.0,-73.981702,40.740716,"$2,595/mo",0.0,1.0,
-1.0,-73.980686,40.740525,"$2,250/mo",1.0,1.0,
1961.0,-73.986163,40.742023,"$5,900/mo",1.0,2.0,1049.0
-1.0,-73.981111,40.740217,"$4,300/mo",3.0,1.0,1000.0
-1.0,-73.983188,40.736937,"$2,595/mo",1.0,1.0,
1961.0,-73.981579,40.739199,"$2,950/mo",0.0,1.0,550.0
1980.0,-73.98214,40.739031,"$5,395/mo",3.0,2.0,
-1.0,-73.981373,40.740007,"$2,000/mo",0.0,1.0,500.0
1900.0,-73.982564,40.736674,"$3,450/mo",2.0,1.0,
1930.0,-73.985199,40.738265,"$5,900/mo",1.0,1.0,7866.0
-1.0,-73.981296,40.739975,"$2,450/mo",1.0,1.0,450.0
-1.0,-73.987956,40.740219,"$11,500/mo",2.0,2.0,1600.0
-1.0,-73.978759,40.736391,"$4,450/mo",1.0,1.0,653.0
1979.0,-73.983472,40.740829,"$6,995/mo",4.0,2.0,1250.0
-1.0,-73.98818,40.739044,"$2,300/mo",0.0,1.0,
-1.0,-73.983135,40.737717,"$2,975/mo",0.0,1.0,651.0
1920.0,-73.98161,40.739616,"$3,700/mo",2.0,1.0,
-1.0,-73.998319,40.734391,"$2,300/mo",0.0,1.0,
-1.0,-73.998569,40.743088,"$2,400/mo",0.0,1.0,
1928.0,-74.001648,40.742886,"$2,800/mo",0.0,1.0,
-1.0,-74.000127,40.735913,"$7,500/mo",2.0,1.0,
2002.0,-74.005185,40.747812,"$3,375/mo",0.0,1.0,500.0
1902.0,-73.998452,40.735152,"$6,395/mo",1.0,1.0,
-1.0,-73.997107,40.738623,"$2,950/mo",1.0,1.0,
-1.0,-74.003179,40.743495,"$4,800/mo",3.0,1.0,
-1.0,-73.993636,40.736659,"$3,500/mo",0.0,1.0,
-1.0,-73.996948,40.743528,"$6,500/mo",2.0,2.0,1050.0
1974.0,-73.997291,40.744165,"$3,150/mo",0.0,1.0,
1950.0,-74.001183,40.74272,"$4,400/mo",2.0,1.0,620.0
-1.0,-74.002541,40.747162,"$4,175/mo",1.0,1.0,
-1.0,-73.998127,40.73324,"$8,000/mo",3.0,2.0,1800.0
-1.0,-73.997939,40.738471,"$2,825/mo",1.0,1.0,
1910.0,-73.999865,40.740605,"$4,300/mo",2.0,1.0,1050.0
-1.0,-73.996479,40.743592,"$3,650/mo",1.0,1.0,
-1.0,-73.998166,40.742938,"$2,300/mo",0.0,1.0,
-1.0,-73.996246,40.735563,"$13,999/mo",3.0,2.0,
-1.0,-73.996734,40.740813,"$9,950/mo",2.0,2.0,1112.0
-1.0,-73.998912,40.733723,"$3,650/mo",1.0,1.0,
-1.0,-74.001114,40.745779,"$4,600/mo",2.0,1.0,1055.0
-1.0,-74.001047,40.743695,"$2,150/mo",0.0,1.0,325.0
-1.0,-73.996271,40.744989,"$3,275/mo",0.0,1.0,426.0
1900.0,-74.000121,40.738896,"$6,150/mo",1.0,2.0,1000.0
-1.0,-74.000353,40.730791,"$2,295/mo",0.0,1.0,
-1.0,-73.993373,40.723087,"$5,150/mo",1.0,1.0,
-1.0,-74.000536,40.725121,"$11,000/mo",2.0,2.0,1500.0
-1.0,-73.996884,40.7211,"$3,400/mo",2.0,1.0,
-1.0,-74.000002,40.72842,"$4,495/mo",2.0,1.0,
-1.0,-74.003201,40.725845,"$2,400/mo",1.0,1.0,
-1.0,-74.000709,40.725131,"$12,250/mo",3.0,2.0,
-1.0,-74.001708,40.728942,"$2,450/mo",1.0,1.0,
1900.0,-74.00108,40.728899,"$6,350/mo",2.0,1.0,1000.0
-1.0,-73.999433,40.725798,"$10,500/mo",2.0,2.0,
-1.0,-73.995634,40.721848,"$8,500/mo",2.0,2.0,1263.0
-1.0,-74.002291,40.726256,"$2,495/mo",1.0,1.0,
-1.0,-73.995186,40.721307,"$3,877/mo",2.0,1.0,
-1.0,-74.001505,40.7259,"$2,850/mo",0.0,1.0,
-1.0,-73.999877,40.72781,"$2,827/mo",1.0,1.0,
-1.0,-73.99906,40.72899,"$3,210/mo",1.0,1.0,
-1.0,-73.999976,40.727693,"$3,162/mo",2.0,1.0,
1961.0,-73.996405,40.726582,"$2,995/mo",0.0,1.0,500.0
-1.0,-74.001937,40.726125,"$3,995/mo",2.0,1.0,
1900.0,-73.995469,40.72231,"$4,795/mo",2.0,1.0,
-1.0,-73.993518,40.724748,"$4,350/mo",1.0,1.0,
-1.0,-73.993792,40.722937,"$3,200/mo",1.0,1.0,
-1.0,-74.002847,40.727807,"$2,600/mo",0.0,1.0,
-1.0,-73.997657,40.723297,"$6,500/mo",1.0,1.0,1000.0
-1.0,-74.001658,40.725808,"$3,300/mo",0.0,1.0,
1915.0,-73.99401,40.722421,"$4,500/mo",1.0,1.0,735.0
-1.0,-73.996072,40.722415,"$4,500/mo",2.0,1.0,
1900.0,-73.99572,40.724066,"$20,000/mo",3.0,3.5,3175.0
-1.0,-73.995135,40.721216,"$5,500/mo",3.0,1.0,
-1.0,-73.996622,40.722347,"$3,844/mo",2.0,1.0,
-1.0,-73.994314,40.720622,"$3,300/mo",1.0,1.0,
-1.0,-74.001152,40.729526,"$4,695/mo",2.0,1.0,
-1.0,-73.995875,40.721086,"$3,575/mo",2.0,1.0,
-1.0,-73.997247,40.715705,"$2,400/mo",2.0,1.0,500.0
-1.0,-73.999592,40.71662,"$6,500/mo",4.0,3.0,
-1.0,-73.99665,40.71793,"$2,099/mo",1.0,1.0,
